Column1,activity_name,interest,rating,reviews,categories,address,location,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2505,Kenneth Hahn View Point,Tourist attraction,4.9,83,"Tourist attraction, Park","Kenneth Hahn View Point, Los Angeles, CA 90008","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,406.7,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2504,Kyoto Garden,Park,4.4,118,"Park, Tourist attraction","Kyoto Garden, DoubleTree by Hilton Hotel Los Angeles Downtown, Los Angeles, CA 90012","Los-angeles, CA",Los-angeles,USA,CA,,Nature,519.2,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2459,La Brea Tar Pits and Museum,Museum,4.6,13219,"Museum, Tourist attraction","La Brea Tar Pits and Museum, 5801 Wilshire Blvd, Los Angeles, CA 90036","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,60807.4,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2457,Los Angeles County Museum of Art,Art museum,4.6,18655,"Art museum, Art center, Art gallery, History museum, Performing arts group, Performing arts theater, Tourist attraction","Los Angeles County Museum of Art, 5905 Wilshire Blvd, Los Angeles, CA 90036","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,85813,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2456,Los Angeles Zoo,Zoo,4.4,19161,"Zoo, Botanical garden, Tourist attraction","Los Angeles Zoo, 5333 Zoo Dr, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,84308.4,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2485,Medieval Torture Museum,Museum,4.9,1134,"Museum, History museum, Tourist attraction","Medieval Torture Museum, 6757 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,5556.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2491,Mulholland Scenic Overlook,Scenic spot,4.7,453,"Scenic spot, Tourist attraction","Mulholland Scenic Overlook, 8591 Mulholland Dr, Los Angeles, CA 90046","Los-angeles, CA",Los-angeles,USA,CA,,Nature,2129.1,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2475,Museum of Tolerance,History museum,4.6,1952,"History museum, Museum, Tourist attraction","Museum of Tolerance, 9786 W Pico Blvd, Los Angeles, CA 90035","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,8979.2,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2507,Neverland,Tourist attraction,4.5,61,Tourist attraction,"Neverland, Los Angeles Neverland, Los Angeles, CA 90012","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,274.5,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2481,Old Los Angeles Zoo,Zoo,4.6,1317,"Zoo, Hiking area, Historical landmark, Tourist attraction","Old Los Angeles Zoo, 4801 Griffith Park Dr, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,6058.2,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2480,Original Muscle Beach Santa Monica,Historical landmark,4.6,1649,"Historical landmark, Tourist attraction","Original Muscle Beach Santa Monica, Ocean Front Walk, Santa Monica, CA 90401","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,7585.4,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2464,Palisades Park,Park,4.7,7557,"Park, Tourist attraction","Palisades Park, Ocean Ave, Santa Monica, CA 90401","Los-angeles, CA",Los-angeles,USA,CA,,Nature,35517.9,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2467,Paramount Pictures Studio Tour,Tourist attraction,4.5,3830,Tourist attraction,"Paramount Pictures Studio Tour, 5515 Melrose Ave, Los Angeles, CA 90038","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,17235,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2498,Ride like a star,Tourist attraction,4.9,139,"Tourist attraction, Bus tour agency, Driving test center, Sightseeing tour agency, Souvenir store, Tourist information center","Ride like a star, 6808 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,681.1,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2478,Ripley's Believe It or Not!,Tourist attraction,4.2,1853,Tourist attraction,"Ripley's Believe It or Not!, 6780 Hollywood Blvd, Hollywood, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,7782.6,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2465,Runyon Canyon Park,Park,4.8,5244,"Park, Tourist attraction","Runyon Canyon Park, 2000 N Fuller Ave, Los Angeles, CA 90046","Los-angeles, CA",Los-angeles,USA,CA,,Nature,25171.2,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2495,The Fowler Museum,Art museum,4.6,268,"Art museum, Tourist attraction","The Fowler Museum, 308 Charles E Young Dr N, Los Angeles, CA 90024","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,1232.8,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2455,The Getty,Art museum,4.8,30800,"Art museum, Modern art museum, Museum, Non-profit organization, Tourist attraction","The Getty, 1200 Getty Center Dr, Los Angeles, CA 90049","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,147840,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2461,The Getty Villa,Art museum,4.8,10015,"Art museum, Tourist attraction","The Getty Villa, 17985 Pacific Coast Hwy, Pacific Palisades, CA 90272","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,48072,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2503,The Golden Triangle,Tourist attraction,4.7,221,Tourist attraction,"The Golden Triangle, 9800 Wilshire Blvd, Beverly Hills, CA 90212","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,1038.7,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2486,The Hollywood Museum,Museum,4.3,1070,"Museum, Tourist attraction","The Hollywood Museum, 1660 Highland Ave, Hollywood, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,4601,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2494,The Walk Of Fun Hollywood,Tourist attraction,5,296,Tourist attraction,"The Walk Of Fun Hollywood, In front of CapitalOne cafe, 6801 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,1480,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2493,The Wende Museum,Museum,4.7,300,"Museum, Archive, Art museum, Cultural center, History museum, Tourist attraction","The Wende Museum, 10808 Culver Blvd, Culver City, CA 90230","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,1410,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2463,The Wizarding World of Harry Potter,Theme park,4.7,8152,"Theme park, Tourist attraction","The Wizarding World of Harry Potter, 100 Universal City Plaza, Universal City, CA 91608","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,38314.4,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2473,Travel Town Railroad,Museum,4.7,2158,"Museum, Amusement park ride, Tourist attraction","Travel Town Railroad, 5200 Zoo Dr, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,10142.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2482,Universal City Overlook,Scenic spot,4.7,1254,"Scenic spot, Park, Tourist attraction","Universal City Overlook, 7701 Mulholland Dr, Los Angeles, CA 90046","Los-angeles, CA",Los-angeles,USA,CA,,Nature,5893.8,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2453,Universal Studios Hollywood,Theme park,4.6,153543,"Theme park, Amusement park, Tourist attraction","Universal Studios Hollywood, 100 Universal City Plaza, Universal City, CA 91608","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,706297.8,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2502,Venice Boardwalk,Scenic spot,4.6,1095,"Scenic spot, Tourist attraction","Venice Boardwalk, Beach pavillion in, Los Angeles, CA","Los-angeles, CA",Los-angeles,USA,CA,,Nature,5037,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2472,"Vista Hermosa Natural Park, Mountains Recreation & Conservation Authority",Park,4.7,2287,"Park, Event venue, Hiking area, Scenic spot, Tourist attraction, Wedding venue","Vista Hermosa Natural Park, Mountains Recreation & Conservation Authority, 100 N Toluca St, Los Angeles, CA 90026","Los-angeles, CA",Los-angeles,USA,CA,,Nature,10748.9,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2468,Warner Bros. Studio Tour Hollywood,Tourist attraction,4.5,3647,"Tourist attraction, Movie studio","Warner Bros. Studio Tour Hollywood, 3400 Warner Blvd, Burbank, CA 91505","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,16411.5,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2470,World of Illusions Los Angeles,Museum,4.1,2635,"Museum, Tourist attraction","World of Illusions Los Angeles, 6751 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,10803.5,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2497,Wrigley Mansion,Historical landmark,4.8,195,"Historical landmark, Cultural landmark, History museum, Tourist attraction","Wrigley Mansion, 391 S Orange Grove Blvd, Pasadena, CA 91184","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,936,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2646,Rockefeller Center,Historical landmark,4.7,175156,"Historical landmark, Tourist attraction","Rockefeller Center, 45 Rockefeller Plaza, New York, NY 10111","New-york-city, NY",New-york-city,USA,NY,,Cultural,823233.2,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2647,Central Park,Park,4.8,272065,"Park, Garden, Tourist attraction","Central Park, New York, NY","New-york-city, NY",New-york-city,USA,NY,,Nature,1305912,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2648,Empire State Building,Historical landmark,4.7,104765,"Historical landmark, Historical place museum, Observation deck, Tourist attraction","Empire State Building, 20 W 34th St., New York, NY 10001","New-york-city, NY",New-york-city,USA,NY,,Cultural,492395.5,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2649,Statue of Liberty,Historical landmark,4.7,101045,"Historical landmark, Monument, Tourist attraction","Statue of Liberty, New York, NY 10004","New-york-city, NY",New-york-city,USA,NY,,Cultural,474911.5,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2650,The Metropolitan Museum of Art,Art museum,4.8,82381,"Art museum, Arts organization, Museum, Non-profit organization, Tourist attraction","The Metropolitan Museum of Art, 1000 5th Ave, New York, NY 10028","New-york-city, NY",New-york-city,USA,NY,,Cultural,395428.8,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2651,The Battery,Park,4.6,71078,"Park, Tourist attraction","The Battery, New York, NY 10004","New-york-city, NY",New-york-city,USA,NY,,Nature,326958.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2652,The High Line,Park,4.7,58176,"Park, Non-profit organization, Tourist attraction","The High Line, New York, NY 10011","New-york-city, NY",New-york-city,USA,NY,,Nature,273427.2,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2653,Intrepid Museum,Museum,4.6,39342,"Museum, Historical place, Historical landmark, Tourist attraction","Intrepid Museum, Pier 86, W 46th St, New York, NY 10036","New-york-city, NY",New-york-city,USA,NY,,Cultural,180973.2,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2654,Brooklyn Bridge Park,Park,4.8,39021,"Park, City park, Tourist attraction","Brooklyn Bridge Park, Brooklyn, NY 11201","New-york-city, NY",New-york-city,USA,NY,,Nature,187300.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2655,Edge,Tourist attraction,4.5,20967,"Tourist attraction, Observation deck","Edge, 30 Hudson Yards, New York, NY 10001","New-york-city, NY",New-york-city,USA,NY,,Entertainment,94351.5,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2656,Union Square Park,Park,4.5,15765,"Park, City park, Tourist attraction","Union Square Park, 201 Park Ave S, New York, NY 10003","New-york-city, NY",New-york-city,USA,NY,,Nature,70942.5,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2657,SUMMIT One Vanderbilt,Tourist attraction,4.6,15699,"Tourist attraction, Art museum, Observatory","SUMMIT One Vanderbilt, 45 E 42nd St, New York, NY 10017","New-york-city, NY",New-york-city,USA,NY,,Entertainment,72215.4,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2658,9/11 Memorial Pools,Historical landmark,4.9,13086,"Historical landmark, Memorial park, Tourist attraction","9/11 Memorial Pools, 180 Greenwich St, New York, NY 10007","New-york-city, NY",New-york-city,USA,NY,,Cultural,64121.4,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2659,Astoria Park,Park,4.7,11413,"Park, Tourist attraction","Astoria Park, 19 19th St, Astoria, NY 11105","New-york-city, NY",New-york-city,USA,NY,,Nature,53641.1,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2660,Strawberry Fields,Tourist attraction,4.6,8959,"Tourist attraction, Historical landmark, Scenic spot","Q2GG+83 Strawberry Fields, New York, NY 10019","New-york-city, NY",New-york-city,USA,NY,,Entertainment,41211.4,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2661,Brooklyn Heights Promenade,Park,4.8,5931,"Park, Promenade, Tourist attraction","Brooklyn Heights Promenade, Montague St &, Pierrepont Pl, Brooklyn, NY 11201","New-york-city, NY",New-york-city,USA,NY,,Nature,28468.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2662,Chrysler Building,Tourist attraction,4.6,5926,Tourist attraction,"Chrysler Building, 405 Lexington Ave, New York, NY 10174","New-york-city, NY",New-york-city,USA,NY,,Entertainment,27259.6,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2663,Belvedere Castle,Castle,4.5,5808,"Castle, Historical landmark, Scenic spot, Tourist attraction","Belvedere Castle, New York, NY 10024","New-york-city, NY",New-york-city,USA,NY,,Cultural,26136,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2664,New York Transit Museum,Museum,4.7,5151,"Museum, Gift shop, Non-profit organization, Rail museum, Tourist attraction","New York Transit Museum, 99 Schermerhorn St, Brooklyn, NY 11201","New-york-city, NY",New-york-city,USA,NY,,Cultural,24209.7,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2665,Tenement Museum,History museum,4.5,4758,"History museum, Museum, Tourist attraction","Tenement Museum, 103 Orchard St, New York, NY 10002","New-york-city, NY",New-york-city,USA,NY,,Cultural,21411,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2666,Museum of Sex,Museum,4.3,4611,"Museum, Adult entertainment store, Bar, Event venue, Exhibit, Gift shop, Tourist attraction","Museum of Sex, 233 5th Ave, New York, NY 10016","New-york-city, NY",New-york-city,USA,NY,,Cultural,19827.3,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2667,SPYSCAPE,Museum,4.5,4570,"Museum, Book store, Corporate entertainment service, Event venue, Tourist attraction","SPYSCAPE, 928 8th Ave, New York, NY 10019","New-york-city, NY",New-york-city,USA,NY,,Cultural,20565,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2668,Color Factory NYC,Art museum,4.5,3819,"Art museum, Amusement center, Amusement park, Children's amusement center, Children's museum, Event venue, Exhibit, Museum, Theme park, Tourist attraction","Color Factory NYC, 251 Spring St, New York, NY 10013","New-york-city, NY",New-york-city,USA,NY,,Cultural,17185.5,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2669,Statue of Liberty Vista Point,Scenic spot,4.6,3562,"Scenic spot, Tourist attraction","Statue of Liberty Vista Point, Battery Park Underpass, New York, NY 10004","New-york-city, NY",New-york-city,USA,NY,,Nature,16385.2,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2670,Liberty Park,Park,4.7,3497,"Park, Tourist attraction","Liberty Park, 155 Cedar St, New York, NY 10006","New-york-city, NY",New-york-city,USA,NY,,Nature,16435.9,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2671,Rockefeller Park,Park,4.7,3335,"Park, Tourist attraction","Rockefeller Park, 75 Battery Place, New York, NY 10280","New-york-city, NY",New-york-city,USA,NY,,Nature,15674.5,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2672,Columbus Park,Park,4.3,3162,"Park, Playground, Tourist attraction","Columbus Park, Mulberry Street &, Baxter St, New York, NY 10013","New-york-city, NY",New-york-city,USA,NY,,Nature,13596.6,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2673,Carl Schurz Park,Park,4.7,3148,"Park, Tourist attraction","Carl Schurz Park, East 86th Street &, East End Ave, New York, NY 10028","New-york-city, NY",New-york-city,USA,NY,,Nature,14795.6,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2674,The FRIENDS Experience: The One in New York City,Tourist attraction,4.5,3063,Tourist attraction,"The FRIENDS Experience: The One in New York City, The Friends Experience, 130 E 23rd St, New York, NY 10010","New-york-city, NY",New-york-city,USA,NY,,Entertainment,13783.5,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2675,Governors Island National Monument,Monument,4.6,2740,"Monument, Historical landmark, Tourist attraction","Governors Island National Monument, 10 South St, New York, NY 10004","New-york-city, NY",New-york-city,USA,NY,,Cultural,12604,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2676,The Ride NYC,Tourist attraction,4.2,2539,"Tourist attraction, Bus tour agency, Entertainment agency, Performing arts theater, Sightseeing tour agency","The Ride NYC, W 42nd St, New York, NY 10036","New-york-city, NY",New-york-city,USA,NY,,Entertainment,10663.8,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2677,Neue Galerie New York,Art museum,4.4,2533,"Art museum, Art gallery, Museum, Tourist attraction","Neue Galerie New York, 1048 5th Ave, New York, NY 10028","New-york-city, NY",New-york-city,USA,NY,,Cultural,11145.2,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2678,Washington Square Arch,Historical landmark,4.7,2398,"Historical landmark, Tourist attraction","Washington Square Arch, Washington Square N, New York, NY 10012","New-york-city, NY",New-york-city,USA,NY,,Cultural,11270.6,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2679,Federal Hall,Museum,4.5,2321,"Museum, Historical place, Historical landmark, History museum, Tourist attraction","Federal Hall, 26 Wall St, New York, NY 10005","New-york-city, NY",New-york-city,USA,NY,,Cultural,10444.5,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2680,Balto Statue,Tourist attraction,4.7,2180,"Tourist attraction, Historical landmark, Scenic spot, Sculpture","Balto Statue, East Dr, New York, NY 10022","New-york-city, NY",New-york-city,USA,NY,,Entertainment,10246,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2681,Museum of Jewish Heritage - A Living Memorial to the Holocaust,History museum,4.6,1668,"History museum, Heritage museum, Museum, Tourist attraction","Museum of Jewish Heritage - A Living Memorial to the Holocaust, 36 Battery Pl, New York, NY 10280","New-york-city, NY",New-york-city,USA,NY,,Cultural,7672.8,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2682,Fotografiska Museum NYC,Art museum,4.5,1659,"Art museum, Cultural center, Modern art museum, Museum, Tourist attraction","Fotografiska Museum NYC, 281 Park Ave S, New York, NY 10010","New-york-city, NY",New-york-city,USA,NY,,Cultural,7465.5,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2683,Pier 26 at Hudson River Park,Park,4.7,1405,"Park, Live music venue, Marina, Tourist attraction","Pier 26 at Hudson River Park, Hudson River Greenway, New York, NY 10013","New-york-city, NY",New-york-city,USA,NY,,Nature,6603.5,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2684,Pier 46 at Hudson River Park,Park,4.7,910,"Park, Tourist attraction","Pier 46 at Hudson River Park, Hudson River Greenway, New York, NY 10014","New-york-city, NY",New-york-city,USA,NY,,Nature,4277,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2685,Museum at Eldridge Street,History museum,4.7,892,"History museum, Heritage museum, Museum, Tourist attraction","Museum at Eldridge Street, 12 Eldridge St, New York, NY 10002","New-york-city, NY",New-york-city,USA,NY,,Cultural,4192.4,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester"
2686,South Cove Park,Park,4.7,854,"Park, Tourist attraction","South Cove Park, 50 Battery Pl, New York, NY 10280","New-york-city, NY",New-york-city,USA,NY,,Nature,4013.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2687,Pier 78 at Hudson River Park,Tourist attraction,4.3,686,Tourist attraction,"Pier 78 at Hudson River Park, 455 12th Ave, New York, NY 10018","New-york-city, NY",New-york-city,USA,NY,,Entertainment,2949.8,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester"
2688,The Ramble,Park,4.7,664,"Park, Tourist attraction","The Ramble, 79th St Transverse, New York, NY 10024","New-york-city, NY",New-york-city,USA,NY,,Nature,3120.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
2689,Lighthouse Park,Park,4.6,658,"Park, Tourist attraction","Lighthouse Park, 910 Main St, New York, NY 10044","New-york-city, NY",New-york-city,USA,NY,,Nature,3026.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester"
